rank,rating_rank,num_rating_rank,author,title,pub_year,orig_lang,gr_avg_rating,gr_num_ratings,gr_num_reviews,oclc_marc_url,wiki_url,gr_url,pg_eng_url,pg_orig_url
26,144,186,Alexandre Dumas,The Three Musketeers,1844,French,4.09,"320,932","9,380",https://www.worldcat.org/title/three-musketeers/oclc/1065244463?referer=di&ht=edition,https://en.wikipedia.org/wiki/The_Three_Musketeers,https://www.goodreads.com/book/show/7190.The_Three_Musketeers?ref=nav_sb_ss_1_20,https://www.gutenberg.org/cache/epub/1257/pg1257.txt,https://www.gutenberg.org/cache/epub/13951/pg13951.txt
27,233,43,Aldous Huxley,Brave New World,1932,English,3.99,"1,843,997","47,130",http://www.worldcat.org/title/brave-new-world/oclc/74490211,https://en.wikipedia.org/wiki/Brave_New_World,https://www.goodreads.com/book/show/5129.Brave_New_World?ref=nav_sb_ss_1_15,NA_not-pub-domain,NA
28,89,183,Leo Tolstoy,War and Peace,1869,Russian,4.16,"326,220","17,136",http://www.worldcat.org/title/war-and-peace/oclc/29259373,https://en.wikipedia.org/wiki/War_and_Peace,https://www.goodreads.com/book/show/656.War_and_Peace?ref=nav_sb_ss_1_13,https://www.gutenberg.org/cache/epub/2600/pg2600.txt,unavailable
29,48,4,Harper Lee,To Kill a Mockingbird,1960,English,4.26,"6,080,747","116,479",https://www.worldcat.org/oclc/276976,https://en.wikipedia.org/wiki/To_Kill_a_Mockingbird,https://www.goodreads.com/book/show/2657.To_Kill_a_Mockingbird?ref=nav_sb_ss_1_21,NA_not-pub-domain,NA
30,223,152,L. Frank Baum,The Wizard of Oz,1900,English,4,"451,144","17,204",https://www.worldcat.org/oclc/8280289,https://en.wikipedia.org/wiki/The_Wonderful_Wizard_of_Oz,https://www.goodreads.com/book/show/236093.The_Wonderful_Wizard_of_Oz?ref=nav_sb_ss_1_16,https://www.gutenberg.org/cache/epub/55/pg55.txt,NA
31,69,104,Victor Hugo,Les Misérables,1862,French,4.2,"794,697","22,665",https://www.worldcat.org/oclc/3991366,https://en.wikipedia.org/wiki/Les_Mis%C3%A9rables,https://www.goodreads.com/book/show/24280.Les_Mis_rables?ref=nav_sb_ss_1_14,https://www.gutenberg.org/cache/epub/135/pg135.txt,https://www.gutenberg.org/cache/epub/17489/pg17489.txt ; https://www.gutenberg.org/cache/epub/17493/pg17493.txt ; https://www.gutenberg.org/cache/epub/17494/pg17494.txt ; https://www.gutenberg.org/cache/epub/17518/pg17518.txt ; https://www.gutenberg.org/cache/epub/17519/pg17519.txt
32,90,75,Frances Hodgson Burnett,The Secret Garden,1911,English,4.16,"1,162,708","28,154",https://www.worldcat.org/oclc/40478576,https://en.wikipedia.org/wiki/The_Secret_Garden,https://www.goodreads.com/book/show/2998.The_Secret_Garden?ref=nav_sb_ss_1_17,https://www.gutenberg.org/cache/epub/17396/pg17396.txt,NA
33,234,12,George Orwell,Animal Farm,1945,English,3.99,"3,853,020","94,736",https://www.worldcat.org/oclc/366597,https://en.wikipedia.org/wiki/Animal_Farm,https://www.goodreads.com/book/show/170448.Animal_Farm?ref=nav_sb_ss_1_11,NA_not-pub-domain,NA
34,298,5,F. Scott Fitzgerald,The Great Gatsby,1925,English,3.93,"5,198,202","103,746",http://www.worldcat.org/title/great-gatsby/oclc/57215622,https://en.wikipedia.org/wiki/The_Great_Gatsby,https://www.goodreads.com/book/show/4671.The_Great_Gatsby?ref=nav_sb_ss_1_16,https://www.gutenberg.org/cache/epub/64317/pg64317.txt,NA
35,28,39,Antoine de Saint-Exupéry,The Little Prince,1943,English,4.32,"2,095,592","66,986",http://www.worldcat.org/title/little-prince/oclc/42683096,https://en.wikipedia.org/wiki/The_Little_Prince,https://www.goodreads.com/book/show/157993.The_Little_Prince?ref=nav_sb_ss_1_17,NA_not-pub-domain,NA
