Title,Creator,Checkouts
A Passage to India,E.M. Forster,2290
Brideshead Revisited,Evelyn Waugh,2285
The Pearl,John Steinbeck,2276
The Notebook,Nicholas Sparks,2272
The War of the Worlds,H.G. Wells,2234
The Moonstone,Wilkie Collins,2230
Tender is the Night,F. Scott Fitzgerald,2225
The Idiot,Fyodor Dostoyevsky,2206
Alex Cross's Trial,James Patterson,2171
A Journey to the Center of the Earth,Jules Verne,2162
Howards End,E.M. Forster,2162
Encyclopedia Brown: Boy Detective,Donald J. Sobol,2158
The Last Battle,C.S. Lewis,2140
These Happy Golden Years,Laura Ingalls Wilder,2118
Of Human Bondage,W. Somerset Maugham,2112
Candide,Voltaire,2092
Bleak House,Charles Dickens,2087
The English Patient,Michael Ondaatje,2070
The Clan of the Cave Bear,Jean M. Auel,2057
The Wings of the Dove,Henry James,2048
Girl With a Pearl Earring,Tracy Chevalier,2046
Tess of the d'Urbervilles,Thomas Hardy,1998
Native Son,Richard Wright,1994
Cross Fire,James Patterson,1976
A Time to Kill,John Grisham,1975
The Trumpet of the Swan,E.B. White,1972
Cold Mountain,Charles Frazier,1932
Dear John,Nicholas Sparks,1928
Vision in White,Nora Roberts,1918
The Indian in the Cupboard,Lynne Reid Banks,1884
Heidi,Johanna Spyri,1882
Dear Mr. Henshaw,Beverly Cleary,1877
Like Water for Chocolate,Laura Esquivel,1855
Doctor Zhivago,Boris Leonidovich Pasternak,1851
Daughter of Fortune,Isabel Allende,1831
Pinocchio,Carlo Collodi,1808
Inkspell,Cornelia Funke,1795
All the King's Men,Robert Penn Warren,1792
The Portrait of a Lady,Henry James,1782
Prince Caspian: The Return to Narnia,C.S. Lewis,1770
A Clockwork Orange,Anthony Burgess,1761
The Higher Power of Lucky,Susan Patron,1753
Kidnapped: The Adventures of David Balfour,Robert Louis Stevenson,1743
A Painted House,John Grisham,1737
Light in August,William Faulkner,1736
Swimsuit,James Patterson,1719
"Cry, The Beloved Country",Alan Paton,1712
O Pioneers!,Willa Cather,1681
The Once and Future King,T. H. White,1662
The Decameron,Giovanni Boccaccio,1654
The Hunchback of Notre Dame,Victor Hugo,1652
The Invisible Man,H.G. Wells,1642
Ethan Frome,Edith Wharton,1639
Flatland,Edwin A. Abbott,1618
Vanity Fair,William Makepeace Thackeray,1598
The Red Badge of Courage,Stephen Crane,1579
Orlando,Virginia Woolf,1551
The Thorn Birds,Colleen McCullough,1538
Fried Green Tomatoes at the Whistle-Stop Cafe,Fannie Flagg,1525
A Separate Peace,John Knowles,1515
A Connecticut Yankee in King Arthur's Court,Mark Twain,1505
The Testament,John Grisham,1503
The Cider House Rules,John Irving,1482
Elijah of Buxton,Christopher Paul Curtis,1472
The Tale of Genji,Murasaki Shikibu,1458
The Wedding,Nicholas Sparks,1457
The Reader,Bernhard Schlink,1453
Kim,Rudyard Kipling,1443
The Chocolate War,Robert Cormier,1443
The Fall,Albert Camus,1436
Steppenwolf,Hermann Hesse,1421
The Red Pony,John Steinbeck,1413
Nights in Rodanthe,Nicholas Sparks,1401
Old Yeller,Fred Gipson,1379
The Street Lawyer,John Grisham,1369
Breakfast at Tiffany's,Truman Capote,1349
The Complete Sherlock Holmes,Arthur Conan Doyle,1342
Nicholas Nickleby,Charles Dickens,1336
Roots,Alex Haley,1335
This Side of Paradise,F. Scott Fitzgerald,1333
"Winesburg, Ohio",Sherwood Anderson,1321
The Grey King,Susan Cooper,1295
"Absalom, Absalom!",William Faulkner,1284
Johnny Tremain,Esther Forbes,1282
The Merry Adventures of Robin Hood of Great Renown In Nottinghamshire,Howard Pyle,1280
Death In Venice,Thomas Mann,1271
The Whipping Boy,Sid Fleischman,1270
The Winter of Our Discontent,John Steinbeck,1257
The Last Juror,John Grisham,1245
The Killer Angels,Michael Shaara,1245
Caddie Woodlawn,Carol Ryrie Brink,1242
The Trial,Franz Kafka,1224
The Partner,John Grisham,1222
The Heart of the Matter,Graham Greene,1220
The Warden,Anthony Trollope,1219
Deception Point,Dan Brown,1207
To Have and Have Not,Ernest Hemingway,1203
A Walk to Remember,Nicholas Sparks,1177
Tortilla Flat,John Steinbeck,1171
Silas Marner,George Eliot,1163
The Leopard,Giuseppe Tomasi di Lampedusa,1159
The Rainmaker,John Grisham,1159
Ivanhoe,Walter Scott,1157
Jude the Obscure,Thomas Hardy,1155
Sounder,William H. Armstrong,1150
The Power and the Glory,Graham Greene,1147
The Pilgrim's Progress,John Bunyan,1146
The Summons,John Grisham,1138
An American Tragedy,Theodore Dreiser,1127
Sophie's Choice,William Styron,1106
The Brethren,John Grisham,1105
Little Dorrit,Charles Dickens,1094
The Incredible Journey,Sheila Burnford,1093
Bleachers,John Grisham,1090
Angels & Demons,Dan Brown,1082
The Client,John Grisham,1075
The Sea Wolf,Jack London,1074
Our Mutual Friend,Charles Dickens,1073
The Pickwick Papers,Charles Dickens,1073
The Mammoth Hunters,Jean M. Auel,1067
The Forsyte Saga,John Galsworthy,1063
The Last of the Mohicans,James Fenimore Cooper,1015
The Runaway Jury,John Grisham,1013
Lord Jim,Joseph Conrad,1004
The King of Torts,John Grisham,995
Cranford,Elizabeth Cleghorn Gaskell,991
Chronicle of a Death Foretold,Gabriel García Márquez,991
Misty of Chincoteague,Marguerite Henry,988
Sons and Lovers,D.H. Lawrence,981
Jonathan Livingston Seagull,Richard Bach,956
The Razor's Edge,W. Somerset Maugham,928
The Mysterious Island,Jules Verne,913
The Bridge of San Luis Rey,Thornton Wilder,912
Remembrance of Things Past,Marcel Proust,911
The Secret Agent,Joseph Conrad,908
The Castle,Franz Kafka,894
The Mill on the Floss,George Eliot,871
The Caine Mutiny,Herman Wouk,870
"Look Homeward, Angel",Thomas Wolfe,865
The Mystery of Edwin Drood,Charles Dickens,858
The Phantom of the Opera,Gaston Leroux,850
King of the Wind,Marguerite Henry,819
Jacob Have I Loved,Katherine Paterson,816
Fathers and Sons,Ivan Sergeevich Turgenev,815
The Tenant of Wildfell Hall,Anne Brontë,814
The Moon and Sixpence,W. Somerset Maugham,807
The Magic Mountain (Der Zauberberg),Thomas Mann,804
Babbitt,Sinclair Lewis,800
The Bridges of Madison County,Robert James Waller,800
Rebecca of Sunnybrook Farm,Kate Douglas Smith Wiggin,796
King Solomon's Mines,H. Rider Haggard,787
The Old Curiosity Shop,Charles Dickens,784
Hard Times,Charles Dickens,779
The Pelican Brief,John Grisham,772
The Ambassadors,Henry James,769
Schindler's List,Thomas Keneally,739
Darkness at Noon,Arthur Koestler,737
The House of the Seven Gables,Nathaniel Hawthorne,723
Call It Courage,Armstrong Sperry,721
The Red & the Black,Stendhal,720
Main Street,Sinclair Lewis,715
Barnaby Rudge,Charles Dickens,711
One Day in the Life of Ivan Denisovich,Aleksandr Isaevich Solzhenitsyn,711
Captains Courageous,Rudyard Kipling,709
Washington Square,Henry James,702
The Sorrows of Young Werther,Johann Wolfgang von Goethe,702
The Return of the Native,Thomas Hardy,638
Villette,Charlotte Brontë,632
Nostromo,Joseph Conrad,627
Adam Bede,George Eliot,608
The Rainbow,D.H. Lawrence,608
Barchester Towers and the Warden,Anthony Trollope,600
The Virginian: A Horseman of the Plains,Owen Wister,599
Utopia,Thomas More,593
The Life and Opinions of Tristram Shandy,Laurence Sterne,592
"The History of Tom Jones, a Foundling",Henry Fielding,569
Nausea,Jean-Paul Sartre,564
The Chamber,John Grisham,562
The Man In the Iron Mask,Alexandre Dumas,560
The Yearling,Marjorie Kinnan Rawlings,549
The Slave Dancer,Paula Fox,548
Germinal,Émile Zola,546
The Betrothed,Alessandro Manzoni,539
Resurrection,Leo Tolstoy,537
Sister Carrie,Theodore Dreiser,532
The Prince and the Pauper,Mark Twain,506
Buddenbrooks,Thomas Mann,506
The Summer of the Swans,Betsy Cromer Byars,503
Dreamcatcher,Stephen King,500
The Naked and the Dead,Norman Mailer,480
Dombey And Son,Charles Dickens,477
Women in Love,D.H. Lawrence,469
Dream of the Red Chamber,Cao Xueqin,456
Le Morte D'Arthur,Thomas Malory,448
The Way of All Flesh,Samuel Butler,439
Lost Horizon,James Hilton,436
The Black Arrow: A Tale of the Two Roses,Robert Louis Stevenson,423
The Mayor of Casterbridge,Thomas Hardy,418
Finnegans Wake,James Joyce,406
Ben-Hur,Lew Wallace,366
Lorna Doone,R.D. Blackmore,350
Nana,Émile Zola,318
Dangerous Liaisons,Choderlos de Laclos,248
Rob Roy,Walter Scott,245
The Vicar of Wakefield,Oliver Goldsmith,244
Arrowsmith,Sinclair Lewis,242
The Horse Whisperer,Nicholas Evans,231
Shirley,Charlotte Brontë,213
"Looking Backward, 2000-1887",Edward Bellamy,203
"M.C. Higgins, The Great",Virginia Hamilton,158
Père Goriot,Honoré de Balzac,157
Eugénie Grandet,Honoré de Balzac,121
The Princess of Cleves,Madame de (Marie-Madeleine Pioche de La Vergne) La Fayett,79
The Rise of Silas Lapham,William Dean Howells,63
Quo Vadis,Henryk Sienkiewicz,42
Persian Letters,Montesquieu,37
A Sentimental Journey Through France and Italy,Laurence Sterne,34
Kenilworth,Walter Scott,32
The Last Days of Pompeii,Edward Bulwer Lytton,19
